14.12.2017 ,Дата создания вики мобайл 
27.09.2019 ,Арман установил ВКМ 
06.11.2019 ,ОБТ VK4ME 1.0.0 
06.12.2019 ,Релиз жажа Авито от Махо 
28.12.2019 ,Анонс SymTube Java 
31.05.2020 ,Анонс Stella QT 
03.06.2020 ,Сздание репозитория ВКМ 
07.06.2020 ,Арман покупает Е7 
26.06.2020 ,Начало разработки ВКТ 
03.07.2020 ,Я устанавливаю Вику на SE z710i впервые 
05.07.2020 ,"""Вика булькает"" (с) "
15.07.2020 ,VK4ME 2.0.0 
22.07.2020 ,Я написал Арману по поводу ВКТ 
23.07.2020 ,Форк ВКТ 
23.07.2020 ,"Первое упоминание фразы ""сожрали неко"" "
29.07.2020 ,Я начинаю помогать Арману 
02.08.2020 ,Слив Жимки 
04.08.2020 ,Создание репозитория SymTube Java 
06.08.2020 ,Первое сообщение через вкт 
11.08.2020 ,Создание группы KK4BE 
11.08.2020 ,Сюжет АВ от Нечипоренко 
21.08.2020 ,"""//блять я тебя захуярю"" "
24.08.2020 ,Фанфик про Махо*Матвея от Эша 
26.08.2020 ,Начало разработки Shiza Desktop 
29.08.2020 ,Начало разработки АВ 
29.08.2020 ,Начало разработки VEngine 
30.08.2020 ,Первые наброски АВ (байки о вике) 
30.08.2020 ,Первая версия ннмода КЕмулятора 
31.08.2020 ,"""Revert Revert ах ты рукожоп"" "
02.09.2020 ,Я купил первую Н8 
08.09.2020 ,Обсуждение названия и концепции АВ 
12.09.2020 ,Слив кода ВКТ 
13.09.2020 ,Сюжет АВ от Стаса 
14.09.2020 ,Закрытие VEngine 
04.10.2020 ,Музей яндекса в Москве 
05.10.2020 ,СТАслив v1.0 
11.10.2020 ,Закрытие SymTube Java 
16.10.2020 ,Открытие кода ВКТ 
18.10.2020 ,МО v1.0 
18.10.2020 ,СТАслив v2.0 (первое сообщение 20.10) 
26.10.2020 ,Начало разработки SymNovel 
06.11.2020 ,Первое упоминание КТГ 
22.11.2020 ,Avito_maho.jar 
17.12.2020 ,СТАслив v3.0 
08.01.2021 ,МО v2.0 
14.02.2021 ,Загадка от Матвей (if против id ильи) 
16.02.2021 ,"Первый сохранившийся билд Шиза Мобайл (""touch"") "
27.02.2021 ,ГооКонтактс 1.0 
15.03.2021 ,Vika Touch 2.9.1 
14.04.2021 ,Нечипоренко хочет снести вику 
15.04.2021 ,Начало разработки Pecorine Mobile 
16.04.2021 ,Квартира стаса и болгарка 
08.05.2021 ,Начало разработки nnvk 
11.05.2021 ,Vika Touch 2.9.2 
12.06.2021 ,Массовые баны из-за Вики Веб 
15.06.2021 ,Закрытие nnvk 
17.06.2021 ,Анонс SymTube QT 
30.06.2021 ,Релиз SymTube QT 
02.07.2021 ,Закрытие Pecorine Mobile 
05.07.2021 ,Начало и закрытие Java Yandex Maps Refreshed 
18.07.2021 ,Шутка про книгу по м3г 
31.07.2021 ,VK4ME 3.0.0 
01.08.2021 ,Анонс кутеграма 
13.08.2021 ,Слив кода Шизы мобайл 
13.08.2021 ,Шизоиды (СТАслив!lazer) 
13.08.2021 ,Концепция Bing Translate 
18.08.2021 ,Начало разработки Bing Translate 
28.08.2021 ,Концепция Murky Rails (fnwc) 
19.09.2021 ,Закрытие SymNovel 
21.09.2021 ,Начало разработки njtai 
20.10.2021 ,Начало и закрытие Startdash 
22.10.2021 ,Релиз njtai (R1) 
23.10.2021 ,Поездка в москву и королёв за Е90 и ловля Махо в метро 
28.10.2021 ,Релиз njtai (R2) 
28.10.2021 ,Начало разработки движка Murky Rails 
29.10.2021 ,Скандал в СЗ из-за сунка контактов 
29.10.2021 ,Cursed Maho Tunnel 
01.11.2021 ,Деплой njtai в sistore 
01.11.2021 ,Начало разработки Murky Rails 
02.11.2021 ,Kutegram 0.0.1 
07.11.2021 ,Начало разработки JTube 
17.11.2021 ,nnproject.cc TG chat 
24.11.2021 ,"Статья ""ShitStore"" в группе вики "
28.11.2021 ,Закрытие Murky Rails 
05.12.2021 ,Релиз JTube (R1) 
17.12.2021 ,Деплой JTube в sistore 
25.12.2021 ,Вопли Махо про исходники электричек 
01.01.2022 ,292-1 
16.01.2022 ,Анонс VK s40 
21.01.2022 ,Скандал в симбоИнт из-за Ярика 
23.01.2022 ,Релиз Kemulator NN mod 
26.01.2022 ,Я приснился себе некой 
29.01.2022 ,Начало разработки nmania 
02.02.2022 ,Релиз VK s40 
05.02.2022 ,Скандал в группе КТГ 
08.02.2022 ,Релиз nmania (1.0.0) 
11.02.2022 ,Отключение Stella Mobile 
12.02.2022 ,Анонс и релиз Bing Translate 
13.02.2022 ,Возвращение стеллы 
15.02.2022 ,Чатик с синей авой стал публичным. 
16.02.2022 ,Срач в СЗ под провок. Рекламой вики 
21.02.2022 ,Срач по поводу стеллы веб и GPL 
23.02.2022 ,Анонс Jch 
20.03.2022 ,Переезд nnproject на новый домен 
27.03.2022 ,Закрытие прокси xtrafrancyz 
30.03.2022 ,njtai r3 
16.04.2022 ,Переезд ннмидлетов в новый чат 
16.04.2022 ,Создание ннчата 
17.04.2022 ,Начало разработки мпграм веб 
22.04.2022 ,Сожжение X6 в СОСИ ГРУП 
28.05.2022 ,Релиз Яндекс Музыки 
04.06.2022 ,JTube 2.0.0 
20.07.2022 ,njtai перестает работать 
06.08.2022 ,Анонс сбербанка 
10.09.2022 ,Релиз мпграм веб 
02.10.2022 ,Релиз сбербанка 
28.10.2022 ,nmania 2.0.0 
27.01.2023 ,"Cоздание канала ""украл код"" "
08.02.2023 ,Создание филиала ннчата в дискорде 
25.05.2023 ,Релиз MahoMaps 
31.05.2023 ,Идея MahoLator 
06.07.2023 ,Релиз KundelikJ2ME и BrainfuckJ2ME 
17.07.2023 ,Релиз патча разрешений жавы 
22.07.2023 ,Начало работы над Pigler Notifications 
13.08.2023 ,Сходка ннчата на демодуляции 
15.08.2023 ,Релиз Pigler Notifications 
07.09.2023 ,Махо в ннчате 
09.09.2023 ,"""сдохни"" "
10.09.2023 ,Kutegram 1.0.0 
17.09.2023 ,Сходка в бк 
21.10.2023 ,Сходка на GBX Autumn Party 
16.12.2023 ,"Cоздание канала ""вернул код"" "
31.12.2023 ,Пост MahoLator в ннмидлетс 
07.02.2024 ,Публичный билд MahoLator 
20.02.2024 ,ннчат в2 
17.02.2024 ,Релиз MahoRasp 
29.02.2024 ,"JTube 2.9.2, симбодев посылка, отчисление из ТвГТУ "
